date,open,high,low,close
03092024 083500,59289.83000000,59323.00000000,59238.00000000,59268.00000000
03092024 084000,59268.00000000,59300.00000000,59250.45000000,59289.99000000
03092024 084500,59289.99000000,59319.97000000,59254.36000000,59319.96000000
03092024 085000,59319.97000000,59319.97000000,59254.38000000,59258.32000000
03092024 085500,59258.31000000,59258.32000000,59126.65000000,59126.65000000
03092024 090000,59126.66000000,59188.82000000,59126.65000000,59177.00000000
03092024 090500,59176.99000000,59196.00000000,59145.00000000,59176.73000000
03092024 091000,59176.73000000,59184.60000000,59145.00000000,59150.99000000
03092024 091500,59151.00000000,59183.50000000,59138.00000000,59153.00000000
03092024 092000,59153.01000000,59153.01000000,59112.00000000,59112.01000000
03092024 092500,59112.00000000,59112.01000000,59041.86000000,59110.99000000
03092024 093000,59111.00000000,59154.50000000,59097.18000000,59154.50000000
03092024 093500,59154.49000000,59178.00000000,59065.93000000,59093.21000000
03092024 094000,59093.21000000,59136.00000000,59093.21000000,59106.01000000
03092024 094500,59106.00000000,59155.43000000,59099.00000000,59150.00000000
03092024 095000,59150.00000000,59150.01000000,59086.01000000,59086.01000000
03092024 095500,59086.01000000,59127.99000000,59076.00000000,59127.97000000
03092024 100000,59127.98000000,59200.00000000,59118.00000000,59195.50000000
03092024 100500,59195.49000000,59232.09000000,59195.49000000,59220.99000000
03092024 101000,59220.99000000,59231.10000000,59190.00000000,59218.00000000
03092024 101500,59217.99000000,59236.00000000,59185.00000000,59185.00000000
03092024 102000,59185.00000000,59185.01000000,59031.04000000,59047.99000000
03092024 102500,59048.00000000,59100.00000000,59003.99000000,59099.01000000
03092024 103000,59099.00000000,59099.01000000,58988.00000000,58996.00000000
03092024 103500,58996.00000000,59201.11000000,58994.69000000,59169.00000000
03092024 104000,59169.00000000,59250.26000000,59169.00000000,59248.00000000
03092024 104500,59247.99000000,59259.00000000,59221.10000000,59221.10000000
03092024 105000,59221.10000000,59259.00000000,59205.60000000,59236.45000000
03092024 105500,59236.45000000,59239.00000000,59209.38000000,59238.99000000
03092024 110000,59238.99000000,59246.00000000,59212.80000000,59213.15000000
03092024 110500,59213.15000000,59217.00000000,59182.00000000,59193.21000000
03092024 111000,59193.21000000,59224.97000000,59161.25000000,59162.03000000
03092024 111500,59162.03000000,59181.00000000,59145.00000000,59177.99000000
03092024 112000,59177.99000000,59206.75000000,59177.99000000,59189.99000000
03092024 112500,59190.00000000,59208.70000000,59175.00000000,59186.00000000
03092024 113000,59186.00000000,59186.00000000,58945.00000000,59023.00000000
03092024 113500,59023.00000000,59047.00000000,58922.53000000,59005.19000000
03092024 114000,59005.19000000,59005.20000000,58959.99000000,58968.99000000
03092024 114500,58968.98000000,59017.00000000,58965.73000000,59017.00000000
03092024 115000,59017.00000000,59019.33000000,58916.12000000,58959.99000000
03092024 115500,58960.00000000,58994.00000000,58872.00000000,58982.01000000
03092024 120000,58982.01000000,59024.00000000,58937.03000000,58937.03000000
03092024 120500,58937.02000000,58957.00000000,58917.00000000,58947.01000000
03092024 121000,58947.01000000,58995.79000000,58932.42000000,58985.99000000
03092024 121500,58985.99000000,58987.10000000,58940.49000000,58940.49000000
03092024 122000,58940.49000000,58961.00000000,58889.99000000,58889.99000000
03092024 122500,58889.99000000,58913.17000000,58873.91000000,58891.00000000
03092024 123000,58891.01000000,58976.00000000,58891.00000000,58976.00000000
03092024 123500,58976.00000000,59000.00000000,58958.13000000,58972.02000000
03092024 124000,58972.01000000,58972.02000000,58880.57000000,58923.00000000
03092024 124500,58923.00000000,58971.00000000,58922.00000000,58950.00000000
03092024 125000,58950.00000000,58997.09000000,58950.00000000,58981.11000000
03092024 125500,58981.10000000,59000.00000000,58954.00000000,58955.01000000
03092024 130000,58955.00000000,59000.00000000,58955.00000000,59000.00000000
03092024 130500,58999.99000000,59080.05000000,58991.99000000,59064.01000000
03092024 131000,59064.00000000,59126.57000000,59052.00000000,59101.00000000
03092024 131500,59101.01000000,59140.35000000,59071.20000000,59080.00000000
03092024 132000,59080.01000000,59100.00000000,59080.00000000,59100.00000000
03092024 132500,59099.99000000,59136.74000000,59095.01000000,59112.00000000
03092024 133000,59112.01000000,59136.58000000,59086.45000000,59105.83000000
03092024 133500,59105.83000000,59133.00000000,59105.57000000,59108.00000000
03092024 134000,59108.01000000,59108.01000000,59067.03000000,59067.03000000
03092024 134500,59067.03000000,59074.00000000,59046.00000000,59051.99000000
03092024 135000,59052.00000000,59113.57000000,59025.00000000,59080.01000000
03092024 135500,59080.00000000,59080.01000000,59031.35000000,59031.35000000
03092024 140000,59031.35000000,59031.36000000,58927.00000000,58927.01000000
03092024 140500,58927.00000000,58935.00000000,58737.00000000,58811.99000000
03092024 141000,58812.00000000,58827.91000000,58717.00000000,58788.01000000
03092024 141500,58788.01000000,58860.00000000,58732.00000000,58852.00000000
03092024 142000,58852.00000000,58852.01000000,58799.00000000,58838.99000000
03092024 142500,58838.99000000,58838.99000000,58783.46000000,58789.02000000
03092024 143000,58789.01000000,58857.66000000,58783.00000000,58857.65000000
03092024 143500,58857.64000000,58858.00000000,58805.71000000,58857.99000000
03092024 144000,58857.99000000,58857.99000000,58808.01000000,58809.00000000
