date,open,high,low,close
04092024 085000,56808.99000000,56821.00000000,56742.00000000,56785.00000000
04092024 085500,56784.99000000,56820.00000000,56769.00000000,56820.00000000
04092024 090000,56819.99000000,56820.00000000,56785.00000000,56797.01000000
04092024 090500,56797.01000000,56850.00000000,56731.10000000,56766.00000000
04092024 091000,56766.01000000,56804.00000000,56717.58000000,56724.01000000
04092024 091500,56724.00000000,56751.10000000,56704.00000000,56734.01000000
04092024 092000,56734.00000000,56775.71000000,56706.00000000,56716.00000000
04092024 092500,56716.00000000,56716.01000000,56622.77000000,56653.98000000
04092024 093000,56653.99000000,56687.49000000,56638.00000000,56687.49000000
04092024 093500,56687.49000000,56697.00000000,56637.89000000,56676.99000000
04092024 094000,56676.99000000,56700.00000000,56660.93000000,56700.00000000
04092024 094500,56700.00000000,56700.00000000,56645.00000000,56646.99000000
04092024 095000,56646.98000000,56651.00000000,56591.10000000,56591.11000000
04092024 095500,56591.11000000,56624.99000000,56559.15000000,56568.55000000
04092024 100000,56568.55000000,56631.00000000,56568.00000000,56630.99000000
04092024 100500,56630.99000000,56668.43000000,56618.00000000,56668.43000000
04092024 101000,56668.42000000,56677.00000000,56660.00000000,56660.01000000
04092024 101500,56660.01000000,56690.00000000,56630.66000000,56689.99000000
04092024 102000,56690.00000000,56728.00000000,56674.00000000,56725.01000000
04092024 102500,56725.01000000,56725.01000000,56686.00000000,56694.00000000
04092024 103000,56694.00000000,56694.00000000,56599.00000000,56599.01000000
04092024 103500,56599.00000000,56629.00000000,56562.26000000,56606.99000000
04092024 104000,56607.00000000,56631.00000000,56561.10000000,56561.11000000
04092024 104500,56561.11000000,56561.11000000,56474.45000000,56510.00000000
04092024 105000,56510.00000000,56515.00000000,56458.50000000,56478.45000000
04092024 105500,56478.45000000,56546.32000000,56478.45000000,56500.00000000
04092024 110000,56500.00000000,56511.00000000,56401.13000000,56401.72000000
04092024 110500,56401.71000000,56410.00000000,56317.58000000,56322.99000000
04092024 111000,56322.99000000,56416.00000000,56262.11000000,56411.69000000
04092024 111500,56411.68000000,56415.00000000,56309.00000000,56312.99000000
04092024 112000,56313.00000000,56333.68000000,56201.00000000,56240.00000000
04092024 112500,56240.00000000,56316.00000000,56216.71000000,56252.01000000
04092024 113000,56252.01000000,56379.00000000,56252.00000000,56299.00000000
04092024 113500,56299.01000000,56468.66000000,56275.00000000,56342.51000000
04092024 114000,56343.00000000,56374.00000000,56297.20000000,56299.99000000
04092024 114500,56300.00000000,56330.94000000,56209.99000000,56248.01000000
04092024 115000,56248.01000000,56388.72000000,56232.52000000,56384.02000000
04092024 115500,56384.02000000,56530.01000000,56382.03000000,56496.16000000
04092024 120000,56496.16000000,56496.16000000,56407.00000000,56464.00000000
04092024 120500,56464.00000000,56523.43000000,56434.00000000,56442.17000000
04092024 121000,56442.16000000,56442.17000000,56367.02000000,56402.00000000
04092024 121500,56402.01000000,56450.47000000,56388.01000000,56444.93000000
04092024 122000,56444.92000000,56528.00000000,56423.00000000,56495.01000000
04092024 122500,56495.02000000,56497.83000000,56246.07000000,56277.00000000
04092024 123000,56277.00000000,56377.00000000,56253.00000000,56337.00000000
04092024 123500,56337.00000000,56414.00000000,56300.00000000,56413.99000000
04092024 124000,56413.99000000,56563.99000000,56397.00000000,56502.00000000
04092024 124500,56502.00000000,56641.15000000,56476.26000000,56580.01000000
04092024 125000,56580.01000000,56605.00000000,56480.00000000,56548.70000000
04092024 125500,56548.70000000,56569.01000000,56494.00000000,56517.00000000
04092024 130000,56517.01000000,56616.00000000,56502.00000000,56615.99000000
04092024 130500,56615.99000000,56696.93000000,56598.00000000,56660.99000000
04092024 131000,56660.99000000,56881.00000000,56654.43000000,56840.00000000
04092024 131500,56840.01000000,56875.00000000,56751.00000000,56819.83000000
04092024 132000,56819.84000000,56819.84000000,56736.97000000,56765.00000000
04092024 132500,56765.00000000,56780.00000000,56728.69000000,56746.00000000
04092024 133000,56746.00000000,56811.00000000,56741.99000000,56802.89000000
04092024 133500,56802.88000000,56802.89000000,56755.15000000,56755.15000000
04092024 134000,56755.16000000,56755.16000000,56668.28000000,56715.69000000
04092024 134500,56715.69000000,56794.00000000,56702.00000000,56793.99000000
04092024 135000,56794.00000000,56804.11000000,56761.10000000,56761.10000000
04092024 135500,56761.10000000,56848.00000000,56754.63000000,56848.00000000
04092024 140000,56847.99000000,56909.94000000,56790.52000000,56796.99000000
04092024 140500,56796.99000000,56809.00000000,56744.89000000,56784.00000000
04092024 141000,56784.01000000,56784.01000000,56704.00000000,56706.21000000
04092024 141500,56706.20000000,56734.00000000,56706.20000000,56712.10000000
04092024 142000,56712.10000000,56749.28000000,56712.10000000,56749.27000000
04092024 142500,56749.28000000,56798.79000000,56749.27000000,56783.01000000
04092024 143000,56783.01000000,56855.00000000,56722.00000000,56845.01000000
04092024 143500,56845.00000000,56845.01000000,56711.24000000,56734.99000000
04092024 144000,56734.99000000,56745.50000000,56710.00000000,56728.88000000
04092024 144500,56728.88000000,56728.88000000,56678.00000000,56678.01000000
04092024 145000,56678.00000000,56750.00000000,56667.02000000,56744.71000000
04092024 145500,56744.71000000,56744.71000000,56723.00000000,56736.75000000
04092024 150000,56736.75000000,56754.00000000,56709.00000000,56721.10000000
04092024 150500,56721.09000000,56721.10000000,56652.70000000,56690.99000000
04092024 151000,56691.00000000,56758.35000000,56690.99000000,56752.12000000
04092024 151500,56752.11000000,56800.00000000,56700.00000000,56700.00000000
04092024 152000,56700.00000000,56700.00000000,56618.00000000,56618.01000000
04092024 152500,56618.00000000,56643.00000000,56570.00000000,56596.99000000
04092024 153000,56596.99000000,56630.00000000,56583.54000000,56630.00000000
04092024 153500,56629.99000000,56659.00000000,56526.67000000,56534.00000000
04092024 154000,56534.00000000,56559.00000000,56469.38000000,56552.00000000
04092024 154500,56552.01000000,56580.00000000,56470.18000000,56488.00000000
04092024 155000,56488.00000000,56521.00000000,56453.00000000,56519.01000000
04092024 155500,56519.01000000,56661.00000000,56519.01000000,56618.99000000
04092024 160000,56619.00000000,56710.47000000,56570.04000000,56592.00000000
04092024 160500,56591.99000000,56605.00000000,56550.00000000,56581.10000000
04092024 161000,56581.10000000,56623.00000000,56479.48000000,56519.00000000
04092024 161500,56519.00000000,56566.00000000,56465.00000000,56479.00000000
04092024 162000,56479.00000000,56543.99000000,56455.98000000,56457.00000000
04092024 162500,56457.00000000,56486.12000000,56456.00000000,56456.45000000
04092024 163000,56456.46000000,56529.99000000,56454.73000000,56454.74000000
04092024 163500,56454.74000000,56547.00000000,56454.73000000,56547.00000000
04092024 164000,56547.00000000,56580.00000000,56511.00000000,56515.99000000
04092024 164500,56516.00000000,56557.00000000,56461.00000000,56516.00000000
04092024 165000,56515.99000000,56549.70000000,56498.00000000,56524.00000000
04092024 165500,56524.01000000,56544.82000000,56490.00000000,56530.01000000
04092024 170000,56530.00000000,56670.01000000,56527.00000000,56602.01000000
04092024 170500,56602.00000000,56666.99000000,56602.00000000,56653.99000000
04092024 171000,56653.99000000,56682.32000000,56602.81000000,56628.99000000
04092024 171500,56628.67000000,56628.67000000,56567.01000000,56567.02000000
04092024 172000,56567.02000000,56603.00000000,56559.00000000,56577.99000000
04092024 172500,56577.99000000,56636.00000000,56573.00000000,56573.00000000
04092024 173000,56573.00000000,56659.70000000,56561.00000000,56626.00000000
04092024 173500,56626.00000000,56674.69000000,56580.03000000,56640.00000000
04092024 174000,56640.01000000,56657.00000000,56479.95000000,56503.00000000
04092024 174500,56503.00000000,56570.26000000,56497.31000000,56555.00000000
04092024 175000,56555.01000000,56622.33000000,56539.72000000,56622.33000000
04092024 175500,56622.92000000,56637.90000000,56547.18000000,56631.09000000
04092024 180000,56631.10000000,56655.99000000,56521.10000000,56539.99000000
04092024 180500,56539.99000000,56587.00000000,56527.72000000,56563.01000000
04092024 181000,56563.01000000,56733.25000000,56551.10000000,56732.78000000
04092024 181500,56732.78000000,56763.99000000,56658.00000000,56671.04000000
04092024 182000,56671.03000000,56718.00000000,56652.00000000,56676.64000000
04092024 182500,56676.00000000,56676.00000000,56589.77000000,56599.99000000
04092024 183000,56600.00000000,56637.00000000,56509.48000000,56527.00000000
04092024 183500,56527.00000000,56553.00000000,56480.01000000,56483.65000000
04092024 184000,56483.64000000,56580.02000000,56483.64000000,56524.00000000
04092024 184500,56524.01000000,56578.00000000,56501.10000000,56578.00000000
04092024 185000,56578.00000000,56589.66000000,56512.35000000,56559.01000000
04092024 185500,56559.00000000,56559.00000000,56468.93000000,56487.99000000
04092024 190000,56487.99000000,56700.00000000,56385.30000000,56680.44000000
04092024 190500,56680.44000000,56680.44000000,56319.41000000,56382.99000000
04092024 191000,56382.99000000,56628.68000000,56382.99000000,56415.00000000
04092024 191500,56415.00000000,56520.00000000,56358.00000000,56480.99000000
04092024 192000,56480.99000000,56537.00000000,56353.00000000,56421.10000000
04092024 192500,56421.10000000,56514.00000000,56386.00000000,56490.00000000
04092024 193000,56489.99000000,56496.99000000,56187.61000000,56384.00000000
04092024 193500,56383.99000000,56720.56000000,56265.01000000,56714.01000000
04092024 194000,56714.00000000,56742.00000000,56513.00000000,56569.99000000
04092024 194500,56570.00000000,56636.99000000,56319.99000000,56387.00000000
04092024 195000,56387.01000000,56450.00000000,56282.00000000,56366.29000000
04092024 195500,56366.29000000,56445.00000000,56282.00000000,56445.00000000
04092024 200000,56445.00000000,56648.00000000,56409.00000000,56647.99000000
04092024 200500,56648.00000000,56720.56000000,56529.01000000,56665.02000000
04092024 201000,56665.02000000,57101.00000000,56652.32000000,57089.87000000
04092024 201500,57089.88000000,57274.13000000,57033.70000000,57274.13000000
04092024 202000,57274.12000000,57581.40000000,57237.00000000,57413.00000000
04092024 202500,57413.00000000,57574.00000000,57402.05000000,57511.10000000
04092024 203000,57511.11000000,57738.09000000,57498.74000000,57677.99000000
04092024 203500,57677.99000000,57768.00000000,57447.97000000,57451.11000000
04092024 204000,57451.10000000,57504.00000000,57380.01000000,57468.00000000
04092024 204500,57468.00000000,57533.89000000,57365.00000000,57451.11000000
04092024 205000,57451.10000000,57522.48000000,57388.00000000,57522.48000000
04092024 205500,57522.47000000,57522.47000000,57376.00000000,57419.85000000
04092024 210000,57419.84000000,57620.71000000,57368.00000000,57593.00000000
04092024 210500,57593.00000000,57665.00000000,57515.00000000,57562.88000000
04092024 211000,57562.87000000,57809.00000000,57517.00000000,57787.40000000
04092024 211500,57787.39000000,58007.00000000,57787.39000000,57931.12000000
04092024 212000,57931.11000000,58106.00000000,57893.00000000,58082.77000000
04092024 212500,58082.77000000,58181.43000000,58012.00000000,58134.00000000
04092024 213000,58134.00000000,58441.10000000,58121.10000000,58241.10000000
04092024 213500,58241.10000000,58347.53000000,58137.49000000,58334.91000000
04092024 214000,58334.91000000,58369.88000000,58135.60000000,58154.00000000
